finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,4,Introduction,"Respondents interviewed in 2021 ('over 125,000')",125000,count,1000,text,N,,
X02,4,Introduction,"Women interviewed ('66,000')",66000,count,1000,text,N,,
X03,4,Introduction,Countries and areas surveyed,121,count,,text,N,,
X04,4,Introduction,Foreign-born women who did not tell anyone about V&H at work: % 'did not know what to do',51,pct,,text,Y,WP4657,
X05,4,Introduction,Comparison figure for X04 ('51% vs 46%'); read as native-born women,46,pct,,text,Y,WP4657,The report does not say who the 46% refers to. Native-born women is the reading used here; all women who did not tell is 46% in the public data.
X06,4,Introduction,Foreign-born women who did not tell anyone about V&H at work: % 'procedures at work were unclear',60,pct,,text,Y,WP4657,
X07,4,Introduction,Comparison figure for X06 ('60% vs 41%'); read as native-born women,41,pct,,text,Y,WP4657,
X08,4,Introduction,"Gap (men minus women), % feel more safe than five years ago",3,pct,,text,N,,
X09,4,Introduction,"Gap (women minus men), % feel less safe than five years ago",4,pct,,text,N,,
X10,5,Introduction,"Gap (women minus men), % very worried about violent crime",7,pct,,text,N,,
X11,5,Introduction,"Gap (women minus men), % personally experienced serious harm from violent crime ('no difference')",0,pct,,text,N,,
X12,5,Introduction,"Gap (women minus men), % very worried about mental health",7,pct,,text,N,,
X13,5,Introduction,Women who personally experienced serious harm from mental health issues,9,pct,,text,N,,
X14,5,Introduction,"Gap (women minus men), % personally experienced serious harm from mental health issues",1,pct,,text,N,,
X15,"5, 11",Introduction,"Gap (women minus men), % could cover basic needs for less than a week",2,pct,,text,N,,
X16,"5, 11",Introduction,"Gap (women minus men), % could cover basic needs for a month or less",4,pct,,text,N,,
X17,6,Introduction,"Gap (women minus men), % who have never worked",8,pct,,text,N,,
X18,6,Introduction,Women who have ever worked: % unemployed or out of the workforce,50,pct,,text,N,,
X19,6,Introduction,Men who have ever worked: % unemployed or out of the workforce,29,pct,,text,N,,
X20,6,Introduction,"Gap (women minus men), % of those who have ever worked unemployed or out of the workforce",21,pct,,text,N,,
C1_1_women_very,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % very serious threat, women",41,pct,,chart,N,,
C1_1_women_somewhat,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % somewhat serious threat, women",26,pct,,chart,N,,
C1_1_women_not,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % not a threat at all, women",13,pct,,chart,N,,
C1_1_women_dk,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % don't know/refused, women",20,pct,,chart,N,,
C1_1_men_very,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % very serious threat, men",41,pct,,chart,N,,
C1_1_men_somewhat,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % somewhat serious threat, men",26,pct,,chart,N,,
C1_1_men_not,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % not a threat at all, men",15,pct,,chart,N,,
C1_1_men_dk,7,Chart 1.1,"Climate change a threat to your country in the next 20 years: % don't know/refused, men",18,pct,,chart,N,,
X21,7,Chapter 1,"Gap (men minus women), % climate change 'not a threat at all'",2,pct,,text,N,,
C1_2_women_more,8,Chart 1.2,"Feel safe compared with five years ago: % more safe, women",26,pct,,chart,N,,
C1_2_women_less,8,Chart 1.2,"Feel safe compared with five years ago: % less safe, women",36,pct,,chart,N,,
C1_2_women_same,8,Chart 1.2,"Feel safe compared with five years ago: % about as safe, women",38,pct,,chart,N,,
C1_2_men_more,8,Chart 1.2,"Feel safe compared with five years ago: % more safe, men",29,pct,,chart,N,,
C1_2_men_less,8,Chart 1.2,"Feel safe compared with five years ago: % less safe, men",32,pct,,chart,N,,
